cd_procedimento;nm_procedimento
40301362;Apolipoproteína B (Apo B) - pesquisa e/ou dosagem
40301370;Barbitúricos, antidepressivos tricíclicos (cada) - pesquisa e/ou dosagem
40301370;Barbitúricos, antidepressivos tricíclicos (cada) - pesquisa e/ou dosagem
40301389;Beta-glicuronidase - pesquisa e/ou dosagem
40301397;Bilirrubinas (direta, indireta e total) - pesquisa e/ou dosagem
40301400;Cálcio - pesquisa e/ou dosagem
40301419;Cálcio iônico - pesquisa e/ou dosagem
40301427;Capacidade de fixação de ferro - pesquisa e/ou dosagem
40301435;Carbamazepina - pesquisa e/ou dosagem
40301443;Carnitina livre - pesquisa e/ou dosagem
40301451;Carnitina total e frações - pesquisa e/ou dosagem
40301460;Caroteno - pesquisa e/ou dosagem
40301478;Ceruloplasmina - pesquisa e/ou dosagem
40301486;Ciclosporina, methotrexate - cada - pesquisa e/ou dosagem
40301494;Clearance de ácido úrico
40301508;Clearance de creatinina
40301516;Clearance de fosfato
40301524;Clearance de uréia
40301540;Clomipramina - pesquisa e/ou dosagem
40301559;Cloro - pesquisa e/ou dosagem
40301567;Cobre - pesquisa e/ou dosagem
40301583;Colesterol (HDL) - pesquisa e/ou dosagem
40301591;Colesterol (LDL) - pesquisa e/ou dosagem
40301605;Colesterol total - pesquisa e/ou dosagem
40301621;Creatina - pesquisa e/ou dosagem
40301630;Creatinina - pesquisa e/ou dosagem
40301648;Creatino fosfoquinase total (CK) - pesquisa e/ou dosagem
40301648;Creatino fosfoquinase total (CK) - pesquisa e/ou dosagem
40301656;Creatino fosfoquinase - fração MB - massa - pesquisa e/ou dosagem
40301664;Creatino fosfoquinase - fração MB - atividade - pesquisa e/ou dosagem
40301672;Cromatografia de aminoácidos (perfil qualitatitivo) - pesquisa e/ou dosagem
40301680;Curva glicêmica (4 dosagens) via oral ou endovenosa
40301699;Desidrogenase alfa-hidroxibutírica - pesquisa e/ou dosagem
40301702;Desidrogenase glutâmica - pesquisa e/ou dosagem
40301729;Desidrogenase láctica - pesquisa e/ou dosagem
40301737;Desidrogenase láctica - isoenzimas fracionadas - pesquisa e/ou dosagem
40301745;Benzodiazepínicos e similares (cada) - pesquisa e/ou dosagem
40301753;Digitoxina ou digoxina - pesquisa e/ou dosagem
40301761;Eletroferese de proteínas
40301770;Eletroforese de glicoproteínas
40301788;Eletroforese de lipoproteínas
40301796;Enolase - pesquisa e/ou dosagem
40301800;Etossuximida - pesquisa e/ou dosagem
40301800;Etossuximida - pesquisa e/ou dosagem
40301818;Fenilalanina, pesquisa e/ou dosagem
40301826;Fenitoína - pesquisa e/ou dosagem
40301834;Fenobarbital - pesquisa e/ou dosagem
40301842;Ferro sérico - pesquisa e/ou dosagem
40301850;Formaldeído - pesquisa e/ou dosagem
40301869;Fosfatase ácida fração prostática - pesquisa e/ou dosagem
40301877;Fosfatase ácida total - pesquisa e/ou dosagem
40301885;Fosfatase alcalina - pesquisa e/ou dosagem
40301893;Fosfatase alcalina com fracionamento de isoenzimas - pesquisa e/ou dosagem
40301907;Fosfatase alcalina fração óssea - Elisa - pesquisa e/ou dosagem
40301915;Fosfatase alcalina termo-estável - pesquisa e/ou dosagem
40301923;Fosfolipídios - pesquisa e/ou dosagem
40301931;Fósforo - pesquisa e/ou dosagem
40301940;Fósforo, prova de reabsorção tubular
40301958;Frutosaminas (proteínas glicosiladas) - pesquisa e/ou dosagem
40301966;Frutose - pesquisa e/ou dosagem
40301974;Galactose - pesquisa e/ou dosagem
40301982;Galactose 1-fosfatouridil transferase, pesquisa e/ou dosagem
40301990;Gama-glutamil transferase - pesquisa e/ou dosagem
40302016;Gasometria (pH, pCO2, SA, O2, excesso base) - pesquisa e/ou dosagem
40302024;Gasometria + Hb + Ht + Na + K + Cl + Ca + glicose + lactato (quando efetuado no gasômetro) - pesquisa e/ou dosagem
40302024;Gasometria + Hb + Ht + Na + K + Cl + Ca + glicose + lactato (quando efetuado no gasômetro) - pesquisa e/ou dosagem
40302024;Gasometria + Hb + Ht + Na + K + Cl + Ca + glicose + lactato (quando efetuado no gasômetro) - pesquisa e/ou dosagem
40302024;Gasometria + Hb + Ht + Na + K + Cl + Ca + glicose + lactato (quando efetuado no gasômetro) - pesquisa e/ou dosagem
40302024;Gasometria + Hb + Ht + Na + K + Cl + Ca + glicose + lactato (quando efetuado no gasômetro) - pesquisa e/ou dosagem
40302024;Gasometria + Hb + Ht + Na + K + Cl + Ca + glicose + lactato (quando efetuado no gasômetro) - pesquisa e/ou dosagem
40302024;Gasometria + Hb + Ht + Na + K + Cl + Ca + glicose + lactato (quando efetuado no gasômetro) - pesquisa e/ou dosagem
40302032;Glicemia após sobrecarga com dextrosol ou glicose - pesquisa e/ou dosagem
40302040;Glicose - pesquisa e/ou dosagem
40302059;Glicose-6-fosfato deidrogenase (G6FD) - pesquisa e/ou dosagem
40302067;Haptoglobina - pesquisa e/ou dosagem
40302075;Hemoglobina glicada (A1 total) - pesquisa e/ou dosagem
40302083;Hemoglobina plasmática livre - pesquisa e/ou dosagem
40302091;Hexosaminidase A - pesquisa e/ou dosagem
40302091;Hexosaminidase A - pesquisa e/ou dosagem
40302105;Hidroxiprolina - pesquisa e/ou dosagem
40302113;Homocisteína - pesquisa e/ou dosagem
40302121;Imipramina - desipramina - pesquisa e/ou dosagem
40302130;Amilase ou alfa-amilase, isoenzimas - pesquisa e/ou dosagem
40302156;Isoniazida - pesquisa e/ou dosagem
40302164;Lactose, teste de tolerância
40302180;Lidocaina - pesquisa e/ou dosagem
40302199;Lipase - pesquisa e/ou dosagem
40302229;Lítio - pesquisa e/ou dosagem
40302237;Magnésio - pesquisa e/ou dosagem
40302245;Mioglobina, pesquisa e/ou dosagem
40302245;Mioglobina, pesquisa e/ou dosagem
40302270;Osmolalidade - pesquisa e/ou dosagem
40302288;Oxcarbazepina, pesquisa e/ou dosagem
40302296;Piruvato quinase - pesquisa e/ou dosagem
40302296;Piruvato quinase - pesquisa e/ou dosagem
40302300;Porfirinas quantitativas (cada) - pesquisa e/ou dosagem
40302318;Potássio - pesquisa e/ou dosagem
40302326;Pré-albumina - pesquisa e/ou dosagem
40302334;Primidona - pesquisa e/ou dosagem
40302342;Procainamida - pesquisa e/ou dosagem
40302350;Propanolol - pesquisa e/ou dosagem
40302377;Proteínas totais - pesquisa e/ou dosagem
40302385;Proteínas totais albumina e globulina - pesquisa e/ou dosagem
40302393;Quinidina - pesquisa e/ou dosagem
40302407;Reserva alcalina (bicarbonato) - pesquisa e/ou dosagem
40302415;Sacarose, teste de tolerância
40302423;Sódio - pesquisa e/ou dosagem
40302431;Succinil acetona - pesquisa e/ou dosagem
40302458;Tacrolimus - pesquisa e/ou dosagem
40302474;Teofilina - pesquisa e/ou dosagem
40302482;Teste de tolerância a insulina ou hipoglicemiantes orais (até 6 dosagens)
40302490;Tirosina - pesquisa e/ou dosagem
40302504;Transaminase oxalacética (amino transferase aspartato) - pesquisa e/ou dosagem
40302512;Transaminase pirúvica (amino transferase de alanina) - pesquisa e/ou dosagem
40302520;Transferrina - pesquisa e/ou dosagem
40302539;Triazolam - pesquisa e/ou dosagem
40302547;Triglicerídeos - pesquisa e/ou dosagem
40302555;Trimipramina - pesquisa e/ou dosagem
40302563;Tripsina imuno reativa (IRT) - pesquisa e/ou dosagem
40302571;Troponina - pesquisa e/ou dosagem
40302580;Uréia - pesquisa e/ou dosagem
40302598;Urobilinogênio - pesquisa e/ou dosagem
40302601;Vitamina A, pesquisa e/ou dosagem
40302610;Vitamina E - pesquisa e/ou dosagem
40302628;Xilose, teste de absorção à
40302636;Lipídios totais - pesquisa e/ou dosagem
40302644;Maltose, teste de tolerância
40302652;Mucopolissacaridose, pesquisa e/ou dosagem
40302679;Ocitocinase, pesquisa e/ou dosagem
40302695;Colesterol (VLDL) - pesquisa e/ou dosagem
40302709;Teste oral de tolerância à glicose - 2 dosagens
40302717;Eletroforese de proteínas de alta resolução
40302725;Imunofixação - cada fração
40302733;Hemoglobina glicada (Fração A1c) - pesquisa e/ou dosagem
40302741;Lamotrigina - pesquisa e/ou dosagem
40302750;Perfil lipídico / lipidograma (lípidios totais, colesterol, triglicerídios e eletroforese lipoproteínas) - pesquisa e/ou dosagem
40302750;Perfil lipídico / lipidograma (lípidios totais, colesterol, triglicerídios e eletroforese lipoproteínas) - pesquisa e/ou dosagem
40302750;Perfil lipídico / lipidograma (lípidios totais, colesterol, triglicerídios e eletroforese lipoproteínas) - pesquisa e/ou dosagem
40302750;Perfil lipídico / lipidograma (lípidios totais, colesterol, triglicerídios e eletroforese lipoproteínas) - pesquisa e/ou dosagem
40302750;Perfil lipídico / lipidograma (lípidios totais, colesterol, triglicerídios e eletroforese lipoproteínas) - pesquisa e/ou dosagem
40302750;Perfil lipídico / lipidograma (lípidios totais, colesterol, triglicerídios e eletroforese lipoproteínas) - pesquisa e/ou dosagem
40302750;Perfil lipídico / lipidograma (lípidios totais, colesterol, triglicerídios e eletroforese lipoproteínas) - pesquisa e/ou dosagem
40302768;PAPP-A - pesquisa e/ou dosagem
40302776;Peptídeo natriurético BNP/PROBNP - pesquisa e/ou dosagem
40302830;"Vitamina ""D"" 25 HIDROXI, pesquisa e/ou dosagem (Vitamina D3)"
40302881;Ácido Micofenólico, dosagem soro
40302881;Ácido Micofenólico, dosagem soro
40302890;Ácidos graxos cadeia longa
40302903;Ácidos graxos cadeia muito longa
40302946;Bilirrubina transcutânea [labo]
40303012;Alfa -1-antitripsina, (fezes) - pesquisa e/ou dosagem
40303020;Anal Swab, pesquisa de oxiúrus
40303039;Coprológico funcional (caracteres, pH, digestibilidade, amônia, ácidos orgânicos e interpretação)
40303039;Coprológico funcional (caracteres, pH, digestibilidade, amônia, ácidos orgânicos e interpretação)
40303055;Gordura fecal, dosagem
40303063;Hematoxilina férrica, pesquisa de protozoários nas fezes
40303071;Identificação de helmintos, exame de fragmentos - nas fezes
40303080;Larvas (fezes), pesquisa
40303098;Leucócitos e hemácias, pesquisa nas fezes
40303101;Leveduras, pesquisa nas fezes
40303110;Parasitológico - nas fezes
40303128;Parasitológico, colheita múltipla com fornecimento do líquido conservante nas fezes
40303136;Sangue oculto, pesquisa nas fezes
40303144;Shistossoma, pesquisa ovos em fragmentos mucosa após biópsia retal
40303152;Substâncias redutoras nas fezes - pesquisa
40303160;Tripsina, prova de (digestão da gelatina)
40303179;Esteatócrito, triagem para gordura fecal
40303187;Estercobilinogênio fecal, dosagem
40303250;Sangue oculto nas fezes, pesquisa imunológica
40303268;Oograma nas fezes
40304019;Anticoagulante lúpico, pesquisa
40304027;Anticorpo anti A e B, pesquisa e/ou dosagem
40304027;Anticorpo anti A e B, pesquisa e/ou dosagem
40304035;Anticorpos antiplaquetários, citometria de fluxo
40304043;Anticorpos irregulares - pesquisa e/ou dosagem
40304051;Anticorpos irregulares, pesquisa (meio salino a temperatura ambiente e 37º e teste indireto de coombs)
40304060;Antitrombina III, dosagem
40304078;Ativador tissular de plasminogênio (TPA) - pesquisa e/ou dosagem
40304086;CD... (antígeno de dif. Celular, cada determinação) - pesquisa e/ou dosagem
40304086;CD... (antígeno de dif. Celular, cada determinação) - pesquisa e/ou dosagem
40304086;CD... (antígeno de dif. Celular, cada determinação) - pesquisa e/ou dosagem
40304094;Citoquímica para classificar leucemia: esterase, fosfatase leucocitária, PAS, peroxidase ou SB, etc - cada
40304108;Coombs direto
40304116;Enzimas eritrocitárias, (adenilatoquinase, desidrogenase láctica, fosfofructoquinase, fosfoglicerato quinase, gliceraldeído, 3 - fosfato desidrogenase, glicose fosfato isomerase, glicose 6 - fosfato desidrogenase, glutation peroxidase, glutation
40304132;Falcização, teste de
40304140;Fator 4 plaquetário, dosagens
40304159;Fator II, dosagem
40304167;Fator IX, dosagem
40304175;Fator V, dosagem
40304183;Fator VIII, dosagem
40304191;Fator VIII, dosagem do antígeno (Von Willebrand)
40304205;Fator VIII, dosagem do inibidor
40304213;Fator X, dosagem
40304221;Fator XI, dosagem
40304230;Fator XII, dosagem
40304248;Fator XIII, pesquisa
40304256;Fenotipagem do sistema Rh-Hr (anti Rho(D) + anti Rh(C) + anti Rh(E)
40304264;Fibrinogênio, teste funcional, dosagem
40304272;Filária, pesquisa
40304280;Grupo ABO, classificação reversa - determinação
40304299;Grupo sanguíneo ABO, e fator Rho (inclui Du) - determinação
40304302;Ham, teste de (hemólise ácida)
40304310;Heinz, corpúsculos, pesquisa
40304337;Hematócrito, determinação do
40304345;Hemoglobina, dosagem
40304353;Hemoglobina (eletroforese) - pesquisa e/ou dosagem
40304361;Hemograma com contagem de plaquetas ou frações (eritrograma, leucograma, plaquetas)
40304370;Hemossedimentação, (VHS) - pesquisa e/ou dosagem
40304388;Hemossiderina (siderócitos), sangue ou urina - pesquisa e/ou dosagem
40304418;Leucócitos, contagem
40304434;Meta-hemoglobina, determinação da
40304450;Plaquetas, teste de agregação (por agente agregante), cada
40304469;Plasminogênio, dosagem
40304477;Plasmódio, pesquisa
40304485;Medula óssea, aspiração para mielograma ou microbiológico
40304493;Produtos de degradação da fibrina, qualitativo - pesquisa e/ou dosagem
40304507;Proteína C - pesquisa e/ou dosagem
40304515;Proteína S, teste funcional
40304523;Protoporfirina eritrocitária livre - zinco - pesquisa e/ou dosagem
40304531;Prova do laço
40304540;Resistência globular, curva de
40304558;Reticulócitos, contagem
40304566;Retração do coágulo - pesquisa
40304574;Ristocetina, co-fator, teste funcional, dosagem
40304582;Tempo de coagulação - determinação
40304590;Tempo de protrombina - determinação
40304612;Tempo de sangramento de IVY - deteminação
40304620;Tempo de trombina - determinação
40304639;Tempo de tromboplastina parcial ativada - determinação
40304647;Tripanossoma, pesquisa
40304655;Tromboelastograma - pesquisa e/ou dosagem
40304671;Anticorpo antimieloperoxidase, MPO - pesquisa e/ou dosagem
40304680;Fator VII - pesquisa e/ou dosagem
40304698;Fator XIII, dosagem, teste funcional
40304701;Imunofenotipagem para doença residual mínima (*)
40304710;Imunofenotipagem para hemoglobinúria paroxistica noturna (*)
40304728;Imunofenotipagem para leucemias agudas ou sindrome mielodisplásica (*)
40304736;Imunofenotipagem para linfoma não hodgkin / sindrome linfoproliferativa crônica (*)
40304752;Fator IX, dosagem do inibidor
40304760;Inibidor dos fatores da hemostasia, triagem
40304787;Proteína S livre, dosagem
40304809;Consumo de protrombina - pesquisa e/ou dosagem
40304817;Enzimas eritrocitárias, rastreio para deficiência
40304825;Esplenograma (citologia)
40304850;Hemoglobinopatia - triagem (El.HB., hemoglob. fetal. reticulócitos, corpos de H, T. falcização hemácias, resist. osmótica, termo estabilidade)
40304876;Sulfo-hemoglobina, determinação da
40304884;Coombs indireto
40304892;Mielograma
40304906;Dímero D - pesquisa e/ou dosagem
40304914;Tempo de sangramento (Duke) - determinação
40304922;Coagulograma (TS, TC, prova do laço, retração do coágulo, contagem de plaquetas, tempo de protombina, tempo de tromboplastina, parcial ativado) - pesquisa e/ou dosagem
40304930;Baço, exame de esfregaço de aspirado
40304949;Linfonodo, exame de esfregaço de aspirado
40304973;Alfa talassemia anal molecular sangue
40305015;1,25-dihidroxi vitamina D - pesquisa e/ou dosagem
40305066;17-cetosteróides (17-CTS) - cromatografia - pesquisa e/ou dosagem
40305066;17-cetosteróides (17-CTS) - cromatografia - pesquisa e/ou dosagem
40305074;17-cetosteróides relação alfa/beta - pesquisa e/ou dosagem
40305082;17-cetosteróides totais (17-CTS) - pesquisa e/ou dosagem
40305090;17-hidroxipregnenolona - pesquisa e/ou dosagem
40305112;Ácido 5 hidróxi indol acético, dosagem na urina
40305120;Ácido homo vanílico - pesquisa e/ou dosagem
40305163;AMP cíclico - pesquisa e/ou dosagem
40305210;Cortisol livre - pesquisa e/ou dosagem
40305228;Curva glicêmica (6 dosagens) - pesquisa e/ou dosagem
40305236;Curva insulínica (6 dosagens) - pesquisa e/ou dosagem
40305279;Dosagem de receptor de progesterona ou de estrogênio
40305287;Enzima conversora da angiotensina (ECA) - pesquisa e/ou dosagem
40305295;Eritropoietina - pesquisa e/ou dosagem
40305341;Gad-Ab-antidescarboxilase do ácido - pesquisa e/ou dosagem
40305368;Glucagon, dosagem
40305384;Hormônio antidiurético (vasopressina) - pesquisa e/ou dosagem
40305406;"IGF BP3 (proteína ligadora dos fatores de crescimento ""insulin-like"") - pesquisa e/ou dosagem"
40305449;N-telopeptídeo - pesquisa e/ou dosagem
40305465;Paratormônio - PTH ou fração (cada) - pesquisa e/ou dosagem
40305503;Pregnandiol - pesquisa e/ou dosagem
40305546;Prova do LH-Rh, dosagem do FSH sem fornecimento de medicamento (cada)
40305554;Prova do LH-Rh, dosagem do LH sem fornecimento de medicamento (cada)
40305562;Prova do TRH-HPR, dosagem do HPR sem fornecimento do material (cada)
40305570;Prova do TRH-TSH, dosagem do TSH sem fornecimento do material (cada)
40305589;Prova para diabete insípido (restrição hídrica NaCL 3% vasopressina)
40305597;Estrogênios totais (fenolesteróides) - pesquisa e/ou dosagem
40305627;Provas de função tireoideana (T3, T4, índices e TSH)
40305627;Provas de função tireoideana (T3, T4, índices e TSH)
40305627;Provas de função tireoideana (T3, T4, índices e TSH)
40305740;11-desoxicorticosterona - pesquisa e/ou dosagem
40305767;Hormônio gonodotrofico corionico quantitativo (HCG-Beta-HCG) - dosagem
40305775;Macroprolactina - pesquisa e/ou dosagem
40305783;17-hidroxicorticosteróides (17-OHS) - pesquisa e/ou dosagem
40306011;Adenovírus, IgG - pesquisa e/ou dosagem
40306020;Adenovírus, IgM - pesquisa e/ou dosagem
40306046;Anticandida - IgG e IgM (cada) - pesquisa e/ou dosagem
40306054;Anti-actina - pesquisa e/ou dosagem
40306062;Anti-DNA - pesquisa e/ou dosagem
40306070;Anti-JO1 - pesquisa e/ou dosagem
40306089;Anti-LA/SSB - pesquisa e/ou dosagem
40306097;Anti-LKM-1 - pesquisa e/ou dosagem
40306100;Anti-RNP - pesquisa e/ou dosagem
40306119;Anti-Ro/SSA - pesquisa e/ou dosagem
40306127;Anti-Sm - pesquisa e/ou dosagem
40306135;Anticardiolipina - IgA - pesquisa e/ou dosagem
40306143;Anticardiolipina - IgG - pesquisa e/ou dosagem
40306151;Anticardiolipina - IgM - pesquisa e/ou dosagem
40306160;Anticentrômero - pesquisa e/ou dosagem
40306194;Anticorpo antivírus da hepatite E (total) - pesquisa e/ou dosagem
40306208;Anticorpos anti-ilhota de langherans - pesquisa e/ou dosagem
40306216;Anticorpos anti-influenza A, IgG - pesquisa e/ou dosagem
40306224;Anticorpos anti-influenza A, IgM - pesquisa e/ou dosagem
40306232;Anticorpos anti-influenza B, IgG - pesquisa e/ou dosagem
40306240;Anticorpos anti-influenza B, IgM - pesquisa e/ou dosagem
40306259;Anticorpos antiendomisio - IgG, IgM, IgA (cada) - pesquisa e/ou dosagem
40306267;Anticorpos naturais - isoaglutininas, pesquisas
40306275;Anticorpos naturais - isoaglutininas, titulagem
40306283;Anticortex supra-renal - pesquisa e/ou dosagem
40306291;Antiescleroderma (SCL 70) - pesquisa e/ou dosagem
40306305;Antigliadina (glúten) - IgA - pesquisa e/ou dosagem
40306313;Antigliadina (glúten) - IgG - pesquisa e/ou dosagem
40306330;Antimembrana basal - pesquisa e/ou dosagem
40306348;Antimicrossomal - pesquisa e/ou dosagem
40306356;Antimitocondria - pesquisa e/ou dosagem
40306364;Antimitocondria, M2 - pesquisa e/ou dosagem
40306372;Antimúsculo cardíaco - pesquisa e/ou dosagem
40306380;Antimúsculo estriado - pesquisa e/ou dosagem
40306399;Antimúsculo liso - pesquisa e/ou dosagem
40306402;Antineutrófilos (anca) C - pesquisa e/ou dosagem
40306410;Antineutrófilos (anca) P - pesquisa e/ou dosagem
40306429;Antiparietal - pesquisa e/ou dosagem
40306437;Antiperoxidase tireoideana - pesquisa e/ou dosagem
40306445;Aslo - pesquisa e/ou dosagem
40306453;Aspergilus, reação sorológica
40306461;Avidez de IgG para toxoplasmose, citomegalia, rubéloa, EB e outros, cada - pesquisa e/ou dosagem
40306470;Beta-2-microglobulina - pesquisa e/ou dosagem
40306488;Biotinidase atividade da, qualitativo - pesquisa e/ou dosagem
40306496;Blastomicose, reação sorológica
40306500;Brucela - IgG - pesquisa e/ou dosagem
40306518;Brucela - IgM - pesquisa e/ou dosagem
40306534;C1q - pesquisa e/ou dosagem
40306542;C3 proativador - pesquisa e/ou dosagem
40306550;C3A (fator B) - pesquisa e/ou dosagem
40306593;Caxumba, IgG - pesquisa e/ou dosagem
40306607;Caxumba, IgM - pesquisa e/ou dosagem
40306615;Chagas IgG - pesquisa e/ou dosagem
40306623;Chagas IgM - pesquisa e/ou dosagem
40306631;Chlamydia - IgG - pesquisa e/ou dosagem
40306640;Chlamydia - IgM - pesquisa e/ou dosagem
40306640;Chlamydia - IgM - pesquisa e/ou dosagem
40306658;Cisticercose, AC - pesquisa e/ou dosagem
40306666;Citomegalovírus IgG - pesquisa e/ou dosagem
40306674;Citomegalovírus IgM - pesquisa e/ou dosagem
40306682;Clostridium difficile, toxina A - pesquisa e/ou dosagem
40306690;Complemento C2 - pesquisa e/ou dosagem
40306704;Complemento C3 - pesquisa e/ou dosagem
40306712;Complemento C4 - pesquisa e/ou dosagem
40306739;Complemento CH-100 - pesquisa e/ou dosagem
40306747;Complemento CH-50 - pesquisa e/ou dosagem
40306755;Crio-aglutinina, globulina, dosagem, cada
40306763;Crio-aglutinina, globulina, pesquisa, cada
40306771;Cross match (prova cruzada de histocompatibilidade para transplante renal)
40306780;"Cultura ou estimulação dos linfócitos ""in vitro"" por concanavalina, PHA ou pokweed"
40306798;Dengue - IgG e IgM (cada) - pesquisa e/ou dosagem
40306801;Echovírus (painel) sorologia para
40306810;Equinococose (Hidatidose), reação sorológica
40306852;Fator antinúcleo, (FAN) - pesquisa e/ou dosagem
40306860;Fator reumatóide, quantitativo - pesquisa e/ou dosagem
40306879;Filaria sorologia - pesquisa e/ou dosagem
40306887;Genotipagem do sistema HLA
40306887;Genotipagem do sistema HLA
40306887;Genotipagem do sistema HLA
40306887;Genotipagem do sistema HLA
40306887;Genotipagem do sistema HLA
40306895;Giardia, reação sorológica
40306909;Helicobacter pylori - IgA - pesquisa e/ou dosagem
40306917;Helicobacter pylori - IgG - pesquisa e/ou dosagem
40306925;Helicobacter pylori - IgM - pesquisa e/ou dosagem
40306933;Hepatite A - HAV - IgG - pesquisa e/ou dosagem
40306941;Hepatite A - HAV - IgM - pesquisa e/ou dosagem
40306950;Hepatite B - HBCAC - IgG (anti-core IgG ou Acoreg) - pesquisa e/ou dosagem
40306968;Hepatite B - HBCAC - IgM (anti-core IgM ou Acorem) - pesquisa e/ou dosagem
40306976;Hepatite B - HBeAC (anti HBE) - pesquisa e/ou dosagem
40306984;"Hepatite B - HBeAG (antígeno ""E"") - pesquisa e/ou dosagem"
40306984;"Hepatite B - HBeAG (antígeno ""E"") - pesquisa e/ou dosagem"
40306992;Hepatite B - HBSAC (anti-antígeno de superfície) - pesquisa e/ou dosagem
40306992;Hepatite B - HBSAC (anti-antígeno de superfície) - pesquisa e/ou dosagem
40307018;Hepatite B - HBSAG (AU, antígeno austrália) - pesquisa e/ou dosagem
40307026;Hepatite C - anti-HCV - pesquisa e/ou dosagem
40307026;Hepatite C - anti-HCV - pesquisa e/ou dosagem
40307034;Hepatite C - anti-HCV - IgM - pesquisa e/ou dosagem
40307042;Hepatite C - imunoblot - pesquisa e/ou dosagem
40307050;Hepatite delta, anticorpo IgG - pesquisa e/ou dosagem
40307069;Hepatite delta, anticorpo IgM - pesquisa e/ou dosagem
40307077;Hepatite delta, antígeno - pesquisa e/ou dosagem
40307085;Herpes simples - IgG - pesquisa e/ou dosagem
40307093;Herpes simples - IgM - pesquisa e/ou dosagem
40307107;Herpes zoster - IgG - pesquisa e/ou dosagem
40307115;Herpes zoster - IgM - pesquisa e/ou dosagem
40307123;Hipersensibilidade retardada (intradermo reação IDeR ) candidina, caxumba, estreptoquinase-dornase, PPD, tricofitina, vírus vacinal, outro(s), cada
40307140;Histona - pesquisa e/ou dosagem
40307158;Histoplasmose, reação sorológica
40307166;HIV - antígeno P24 - pesquisa e/ou dosagem
40307174;HIV1 ou HIV2, pesquisa de anticorpos
40307182;HIV1+ HIV2, (determinação conjunta), pesquisa de anticorpos
40307190;HLA-DR - pesquisa e/ou dosagem
40307190;HLA-DR - pesquisa e/ou dosagem
40307190;HLA-DR - pesquisa e/ou dosagem
40307204;HLA-DR+DQ - pesquisa e/ou dosagem
40307204;HLA-DR+DQ - pesquisa e/ou dosagem
40307204;HLA-DR+DQ - pesquisa e/ou dosagem
40307212;HTLV1 ou HTLV2 pesquisa de anticorpo (cada)
40307220;IgA - pesquisa e/ou dosagem
40307247;IgD - pesquisa e/ou dosagem
40307255;IgE, grupo específico, cada - pesquisa e/ou dosagem
40307263;IgE, por alérgeno (cada) - pesquisa e/ou dosagem
40307271;IgE, total - pesquisa e/ou dosagem
40307280;IgG - pesquisa e/ou dosagem
40307298;IgG, subclasses 1,2,3,4 (cada) - pesquisa e/ou dosagem
40307301;IgM - pesquisa e/ou dosagem
40307336;Imunoeletroforese (estudo da gamopatia) - pesquisa e/ou dosagem
40307344;Inibidor de C1 esterase - pesquisa e/ou dosagem
40307352;Isospora, pesquisa de antígeno - pesquisa e/ou dosagem
40307387;Legionella - IgG e IgM (cada) - pesquisa e/ou dosagem
40307395;Leishmaniose - IgG e IgM (cada) - pesquisa e/ou dosagem
40307409;Leptospirose - IgG - pesquisa e/ou dosagem
40307417;Leptospirose - IgM - pesquisa e/ou dosagem
40307425;Leptospirose, aglutinação - pesquisa
40307433;"Linfócitos T ""helper"" contagem de (IF com OKT-4) (CD-4+) citometria de fluxo"
40307441;Linfócitos T supressores contagem de (IF com OKT-8) (D-8) citometria de fluxo
40307450;Listeriose, reação sorológica
40307468;Lyme - IgG - pesquisa e/ou dosagem
40307476;Lyme - IgM - pesquisa e/ou dosagem
40307484;Malária - IgG - pesquisa e/ou dosagem
40307492;Malária - IgM - pesquisa e/ou dosagem
40307522;Micoplasma pneumoniae - IgG - pesquisa e/ou dosagem
40307530;Micoplasma pneumoniae - IgM - pesquisa e/ou dosagem
40307565;Mononucleose - Epstein BARR - IgG - pesquisa e/ou dosagem
40307565;Mononucleose - Epstein BARR - IgG - pesquisa e/ou dosagem
40307573;Mononucleose, anti-VCA (EBV) IgG - pesquisa e/ou dosagem
40307581;Mononucleose, anti-VCA (EBV) IgM - pesquisa e/ou dosagem
40307603;Outros testes bioquímicos para determinação do risco fetal (cada)
40307603;Outros testes bioquímicos para determinação do risco fetal (cada)
40307611;Parvovírus - IgG, IgM (cada) - pesquisa e/ou dosagem
40307620;Peptídio intestinal vasoativo, dosagem
40307638;PPD (tuberculina), IDeR
40307689;Reação sorológica para coxsackie, neutralização IgG
40307697;Rubéola - IgG - pesquisa e/ou dosagem
40307700;Rubéola - IgM - pesquisa e/ou dosagem
40307719;Schistosomose - IgG - pesquisa e/ou dosagem
40307727;Schistosomose - IgM - pesquisa e/ou dosagem
40307735;Sífilis - FTA-ABS-IgG - pesquisa
40307743;Sífilis - FTA-ABS-IgM - pesquisa
40307751;Sífilis - TPHA - pesquisa
40307760;Sífilis - VDRL
40307794;Toxocara cannis - IgG - pesquisa e/ou dosagem
40307808;Toxocara cannis - IgM - pesquisa e/ou dosagem
40307824;Toxoplasmose IgG - pesquisa e/ou dosagem
40307832;Toxoplasmose IgM - pesquisa e/ou dosagem
40307840;Urease, teste rápido para helicobacter pylori
40307859;Vírus sincicial respiratório - Elisa - IgG - pesquisa e/ou dosagem
40307867;Waaler-Rose (fator reumatóide) - pesquisa e/ou dosagem
40307875;Western Blot (anticorpos anti-HIV) - pesquisa e/ou dosagem
40307883;Western Blot (anticorpos anti-HTVI ou HTLVII) (cada) - pesquisa e/ou dosagem
